Id,Level,Assessment,Section,Title,RecommendedState,Mechanism,RegistryKey,RegistryValue,Notes
2.3.15.1,L1,Automated,2,"Ensure 'System objects: Require case insensitivity for non-Windows subsystems' is set to 'Enabled'","Enabled",INF [Registry Values],"HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Kernel","ObCaseInsensitive","resolved:raw"
2.3.15.2,L1,Automated,2,"Ensure 'System objects: Strengthen default permissions of internal system objects (e.g. Symbolic Links)' is set to 'Enabled'","Enabled",INF [Registry Values],"HKLM\SYSTEM\CurrentControlSet\Control\Session Manager","ProtectionMode","agreed"
2.3.17.1,L1,Automated,2,"Ensure 'User Account Control: Admin Approval Mode for the Built-in Administrator account' is set to 'Enabled'","Enabled",INF [Registry Values],"HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","FilterAdministratorToken","agreed"
2.3.17.2,L1,Automated,2,"Ensure 'User Account Control: Behavior of the elevation prompt for administrators in Admin Approval Mode' is set to 'Prompt for consent on the secure desktop' or higher","Prompt for consent on the secure desktop",INF [Registry Values],"HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","ConsentPromptBehaviorAdmin","agreed"
2.3.17.3,L1,Automated,2,"Ensure 'User Account Control: Behavior of the elevation prompt for standard users' is set to 'Automatically deny elevation requests'","Automatically deny elevation requests",INF [Registry Values],"HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","ConsentPromptBehaviorUser","agreed"
2.3.17.4,L1,Automated,2,"Ensure 'User Account Control: Detect application installations and prompt for elevation' is set to 'Enabled'","Enabled",INF [Registry Values],"HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","EnableInstallerDetection","agreed"
2.3.17.5,L1,Automated,2,"Ensure 'User Account Control: Only elevate UIAccess applications that are installed in secure locations' is set to 'Enabled'","Enabled",INF [Registry Values],"HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","EnableSecureUIAPaths","agreed"
2.3.17.6,L1,Automated,2,"Ensure 'User Account Control: Run all administrators in Admin Approval Mode' is set to 'Enabled'","Enabled",INF [Registry Values],"HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","EnableLUA","agreed"
2.3.17.7,L1,Automated,2,"Ensure 'User Account Control: Switch to the secure desktop when prompting for elevation' is set to 'Enabled'","Enabled",INF [Registry Values],"HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","PromptOnSecureDesktop","agreed"
2.3.17.8,L1,Automated,2,"Ensure 'User Account Control: Virtualize file and registry write failures to per-user locations' is set to 'Enabled'","Enabled",INF [Registry Values],"HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","EnableVirtualization","agreed"
9.2.1,L1,Automated,9,"Ensure 'Windows Firewall: Private: Firewall state' is set to 'On (recommended)'","On (recommended)",Set-NetFirewallProfile,"HKLM\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile","EnableFirewall","agreed"
9.2.2,L1,Automated,9,"Ensure 'Windows Firewall: Private: Inbound connections' is set to 'Block (default)'","Block (default)",Set-NetFirewallProfile,"HKLM\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile","DefaultInboundAction","agreed"
9.2.3,L1,Automated,9,"Ensure 'Windows Firewall: Private: Settings: Display a notification' is set to 'No'","No",Set-NetFirewallProfile,"HKLM\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile","DisableNotifications","agreed"
9.2.4,L1,Automated,9,"Ensure 'Windows Firewall: Private: Logging: Name' is set to '%SystemRoot%\System32\logfiles\firewall\privatefw.log'","%SystemRoot%\System32\logfiles\firewall\privatefw.log",Set-NetFirewallProfile,"HKLM\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging","LogFilePath","resolved:layout(mid-token-wrap)"
9.2.5,L1,Automated,9,"Ensure 'Windows Firewall: Private: Logging: Size limit (KB)' is set to '16,384 KB or greater'","16,384 KB or greater",Set-NetFirewallProfile,"HKLM\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging","LogFileSize","resolved:layout(mid-token-wrap)"
9.2.6,L1,Automated,9,"Ensure 'Windows Firewall: Private: Logging: Log dropped packets' is set to 'Yes'","Yes",Set-NetFirewallProfile,"HKLM\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging","LogDroppedPackets","agreed"
9.2.7,L1,Automated,9,"Ensure 'Windows Firewall: Private: Logging: Log successful connections' is set to 'Yes'","Yes",Set-NetFirewallProfile,"HKLM\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging","LogSuccessfulConnections","agreed"
